"player","team","pos","min","obpm","dbpm","bpm","role"
"Beto","Everton","FW",10.6,0.117,-0.127,-0.01,3
"Pedro Neto","Wolverhampton Wanderers","FW,MF",16.8,0.066,-0.078,-0.012,2.66666666666667
"Amadou Onana","Everton","MF",23.2,-0.007,-0.005,-0.012,2
"Carlos Baleba","Brighton & Hove Albion","MF",14.7,-0.039,0.025,-0.013,2
"Tahith Chong","Luton Town","MF,FW",22,0.019,-0.033,-0.014,2.33333333333333
"Jonny Evans","Manchester United","DF",15.5,-0.075,0.06,-0.015,1
"Joel Ward","Crystal Palace","DF",22,-0.058,0.042,-0.016,1
"Jordan Beyer","Burnley","DF",13.7,-0.076,0.06,-0.016,1
"Reece Burke","Luton Town","DF",18.4,-0.037,0.019,-0.018,1
"Adam Smith","Bournemouth","DF",23.9,-0.053,0.034,-0.019,1
"Issa Diop","Fulham","DF",15.8,-0.086,0.066,-0.02,1
"Mads Roerslev","Brentford","DF",22.1,-0.029,0.008,-0.021,1
"Aaron Wan-Bissaka","Manchester United","DF",19.8,-0.05,0.027,-0.023,1
"Will Hughes","Crystal Palace","MF",21,-0.055,0.031,-0.024,2
"Frank Onyeka","Brentford","MF",12.9,0.009,-0.033,-0.024,2
"Idrissa Gana Gueye","Everton","MF",20.9,-0.019,-0.006,-0.026,2
"Youri Tielemans","Aston Villa","MF,FW",18,-0.021,-0.01,-0.031,2.33333333333333
"Lewis Miley","Newcastle United","MF",13.4,-0.01,-0.022,-0.031,2
"Lloyd Kelly","Bournemouth","DF",17.3,-0.068,0.037,-0.031,1
"Facundo Buonanotte","Brighton & Hove Albion","FW,MF",15.2,0.007,-0.04,-0.033,2.66666666666667
"Jack Grealish","Manchester City","FW,MF",11.2,0.016,-0.05,-0.034,2.66666666666667
"Valentino Livramento","Newcastle United","DF",14.6,-0.044,0.01,-0.034,1
"Joël Veltman","Brighton & Hove Albion","DF",17.6,-0.051,0.016,-0.034,1
"Ryan Gravenberch","Liverpool","MF",12.5,-0.003,-0.032,-0.035,2
"Pierre Højbjerg","Tottenham Hotspur","MF",14.6,-0.041,0.006,-0.035,2
"Jamaal Lascelles","Newcastle United","DF",12,-0.051,0.016,-0.035,1
"Ashley Young","Everton","DF,MF",25.3,-0.05,0.014,-0.036,1.33333333333333
"Oliver Norwood","Sheffield United","MF",16,-0.036,-0.001,-0.036,2
"Takehiro Tomiyasu","Arsenal","DF",12.8,-0.061,0.025,-0.037,1
"Jarell Quansah","Liverpool","DF",13.2,-0.079,0.039,-0.04,1
"Igor","Brighton & Hove Albion","DF",18.2,-0.069,0.028,-0.041,1
"Bobby Reid","Fulham","FW",15.8,0.026,-0.068,-0.041,3
"Maxime Estève","Burnley","DF",14.5,-0.086,0.04,-0.046,1
"Boubacar Kamara","Aston Villa","MF",18.4,-0.052,0.002,-0.049,2
"Jeffrey Schlupp","Crystal Palace","FW,MF",15,-0.008,-0.042,-0.049,2.66666666666667
"Daniel Muñoz","Crystal Palace","DF,MF",16,-0.048,-0.001,-0.049,1.33333333333333
"Ben Davies","Tottenham Hotspur","DF",12.1,-0.058,0.007,-0.051,1
"Victor Lindelöf","Manchester United","DF",14.8,-0.05,-0.001,-0.052,1
"Mateo Kovačić","Manchester City","MF",17.2,-0.061,0.007,-0.054,2
"Adam Webster","Brighton & Hove Albion","DF",12.7,-0.086,0.031,-0.054,1
"Issa Kaboré","Luton Town","DF",19.2,-0.062,0.005,-0.057,1
"Amari'i Bell","Luton Town","DF",19.1,-0.077,0.013,-0.064,1
"Lorenz Assignon","Burnley","DF",13.7,-0.042,-0.022,-0.064,1
"Curtis Jones","Liverpool","MF",13,-0.029,-0.038,-0.067,2
"Pervis Estupiñán","Brighton & Hove Albion","DF",13.8,-0.045,-0.023,-0.067,1
"Elliot Anderson","Newcastle United","MF,FW",11.4,-0.002,-0.071,-0.073,2.33333333333333
"Emerson","Tottenham Hotspur","DF",12.9,-0.084,0.007,-0.077,1
"Tom Lockyer","Luton Town","DF",13,-0.075,-0.005,-0.08,1
